"Sample","SVAFactor.1","SVAFactor.2","SVAFactor.3","SVAFactor.4","SVAFactor.5","SVAFactor.6","SVAFactor.7","SVAFactor.8"
"X0869",-0.0210519024110982,0.10827314973443,-0.173178435941042,0.0240086525290244,-0.00165177006602166,-0.0735795215070044,0.241523103862587,-0.0362774035188536
"X0872",0.0515082459609267,0.0497621331805383,-0.122568677138136,-0.0688065535425279,0.00573343529109708,0.0211313703096849,0.194673775817483,-0.0428506581376539
"X0873",-0.0404267941545816,0.0637505392997597,-0.105555284715613,0.0663102990784099,-0.0139472317393353,0.00233390651791765,0.151847818958046,0.0614022570902464
"X0874",-0.00271615287294347,0.0185469395672028,-0.0650681395090374,-0.0942828465226311,0.124105263735787,0.0568289997686021,0.107805381824712,0.0238174725318943
"X0875",-0.0129924123744219,0.03764009450094,-0.0523647092290559,-0.0189499255441913,0.0540700424624164,0.0529857114397148,0.13725251468087,0.0470639303426053
"X0876",0.0531840881168176,-0.00364946060094574,-0.0310353291319704,-0.0698763481004575,0.0505980330960107,-0.023656564925037,0.0905279298429853,-0.00983617149814098
"X0877",-0.0645879136482434,0.0941074661232854,-0.108608589200969,0.0718722639718136,-0.0148712992441665,0.000191469567881852,0.118289591725086,0.140305129758141
"X0878",-0.00912336452295746,0.0301555315337395,-0.0413424935248849,-0.107986632566055,0.0450633317276031,-0.0252902106162339,0.0852955789882532,0.0671427185760207
"X0879",-0.00492902694739729,0.0157376574983744,-0.0175841982502373,0.11520365962646,-0.0993141371891841,-0.0140912169345114,-0.115040003810981,0.134344863496452
"X0881",-0.0240405224805583,0.0608409222370369,-0.0421666339698919,-0.0515621629052025,-0.114459136270381,-0.0565336384844523,0.0322954293633367,0.0527119996904021
"X0883",0.161280575295851,-0.0530876135702778,-0.00869019484587209,-0.137275832059861,-0.0627158964172228,-0.0501803569908081,-0.0742014085308804,-0.0177985831907039
"X0885",-0.0550133543758378,0.0206450811282798,0.0465576806149001,-0.036272536708058,-0.241962743313362,-0.128732259515336,-0.16200130781965,0.111200634647956
"X0886",-0.0288087269890639,-0.00742169485199548,0.0616314810607745,-0.128593971751432,0.0196133779934972,-0.0804979300963378,-0.121077681020048,0.0319169137043402
"X0887",0.0871467247296272,0.00741377334231557,-0.141898614433942,0.0797084720668943,-0.161597619064309,0.0153576684392963,0.168758736033748,-0.13875895396671
"X0888",0.120919766110029,-0.0455723879605444,-0.09806789788255,-0.168394662390492,0.0238403592837259,-0.0241660738106937,-0.00561735193658514,-0.219362921740985
"X0889",0.0716337847543322,-0.0770209806655894,-0.0255219869872672,-0.0409664707822811,-0.180906577523587,0.0448583911268135,-0.0843374296201004,-0.120126122073601
"X0890",0.144401775399819,-0.0499031719042314,-0.0947036023771628,-0.0478917226153739,-0.156795210195231,-0.012973232872454,-0.00487533022630865,0.0421250476710038
"X0891",0.103894784032158,-0.0824661612582376,-0.066137488400346,-0.1071634301579,-0.0749699422073216,0.0153048948001404,-0.0877431815709787,-0.206373270533046
"X0892",0.181941859579415,-0.0968101979406547,-0.046402069271054,-0.153287150210359,-0.0181171963645171,0.0726439800012441,-0.102677321278642,-0.0906463852554019
"X0893",0.0188800447001241,-0.0782551342745278,0.0149367256602097,-0.0225481393153498,-0.146054099648369,0.0154337302610739,-0.118507975859119,0.101711142357284
"X0894",-0.288071172042665,0.18607122878929,-0.0937417884993015,0.128699048457496,0.0568016035940507,-0.0687888180149724,0.0778619118095723,0.105731385792756
"X0896",-0.124547436199094,0.0535237449404705,0.11199002685784,-0.172746847902958,-0.0409363426205487,-0.124532513298334,-0.0996749651159942,-0.0176278848274671
"X0897",-0.111737556943535,0.0244718181525698,0.0540442575844297,0.0408448546102669,-0.125744112945906,-0.136626411849715,-0.0891103062157631,-0.0149755561699373
"X0898",-0.0395454053178509,-0.0418197895512009,0.0778829029308021,-0.116555275351378,-0.0237553001003077,-0.0701188839009392,-0.144308226544867,0.0517618284762594
"X0899",-0.196131402930223,0.0993118470202828,0.049385510116631,-0.101360362400712,0.12619657451994,-0.180725845786406,0.0358525756931819,-0.0549367368850792
"X0910",-0.103304983845387,0.0460710014294543,0.0779057311222181,-0.0837228743273229,-0.122004110626949,-0.125160679214058,-0.0339645397485967,-0.0401086691112297
"X2683",-0.0321722888796187,-0.211503336359713,0.0340298073457582,-0.0543666830615959,-0.242792864400968,0.0823219459950809,0.00736234049888781,0.154556547354545
"X2684",-0.225961051900074,-0.0934424673654459,0.0430329769847269,-0.0244842001573605,0.072491546746336,0.0923081886384422,0.114161925758732,-0.0337209593086955
"X2685",-0.0429009140173498,-0.156705621099639,-0.0304628824981005,0.240203142410199,0.167750957437834,0.205882583639549,-0.0509772027833189,-0.179079638221829
"X2687",0.180492242484557,-0.149608321188154,-0.17283006985161,0.0998044954370116,-0.0999022343563328,0.0239372227237612,0.152748668988584,-0.00578394374933685
"X2688",-0.0747142414751021,-0.217675384060713,0.0228660504451992,0.0356332791529074,0.266605903100199,0.124974689175882,-0.0488550146909753,-0.0497020033300032
"X2689",0.102221144627567,-0.175630947666764,-0.0621421473928793,-0.0280096599819241,0.0512727920200256,0.0463911444033249,0.0494646983550823,-0.0145541617856886
"X2691",-0.0651149139989195,-0.123435972449739,-0.0632696541510733,-0.11017069644781,0.0435591768551265,-0.0678291814539196,0.170966903898133,0.141508429623472
"X2692",0.0340790489409353,-0.234311501204666,0.0722408151683617,0.216282237859386,-0.0658512113359543,0.165184318104163,0.0555589003689613,-0.00349024413128166
"X2693",-0.0916513679835325,-0.141215563545548,-0.0714207639661655,0.067753903315891,0.00735582755646388,0.0603161907844742,0.088942115330167,0.119669956787172
"X2696",-0.132163853531521,-0.171993438089708,0.00693856634100571,-0.0603261105462613,-0.0941283684905021,0.0656901245923327,0.0523685267512823,0.111675607843603
"X2697",-0.0297629696765752,-0.108868522826431,0.0277743399435907,-0.258399788113966,0.111223700444746,0.0678342722361628,-0.157559088611103,-0.140904825019575
"X2698",0.209627107501025,-0.182642957836326,-0.101234586996622,0.116979118255187,-0.0430309507366008,0.195572600616875,-0.0484226146565701,0.0776132403357337
"X2701",-0.143657768878004,-0.153797116150819,0.0259101872320447,0.0767122855187535,-0.123797518857216,0.0203688576842903,-0.0274645833524066,0.137003439717235
"X2703",-0.530459029007335,-0.0385499659033701,0.225995850401108,0.219541603515267,-0.0403429585503329,0.0647178688343159,-0.108597131717507,-0.242312246490044
"X2704",-0.0312428147197885,-0.119038993506215,0.0665362826615213,-0.205523944418021,0.0697870122475985,0.0229252229744428,-0.00996860977007212,-0.0399536926253905
"X2705",-0.172818379726636,-0.109518280901893,0.0609791982759672,0.024936477670182,0.0279996117778784,-0.0169300489272859,0.075274670687521,-0.0942808288412428
"X3992",0.0914383095635631,0.0516920821737945,0.0101512604964657,-0.000510788081748968,0.299437415370217,-0.0656939863327286,0.12113123581516,-0.165228416046188
"X3993",0.116492470962173,0.166993558256311,0.028335741581983,0.383092724609651,-0.0658825687692874,0.058724273967128,-0.23490732803072,0.00777528898907167
"X3994",0.163545965899625,0.2065450188948,0.34188877610974,0.17052297115741,-0.35325301777151,-0.101145909901528,0.297800020074439,-0.0558159763793024
"X3995",0.132231252044475,0.12096212219142,-0.0837442357839473,0.278416109747567,0.0877569709292353,-0.0668025995978237,-0.0337005221562557,-0.144276111016503
"X3996",0.150141531190853,0.133069282757266,0.203163133578181,-0.0857134621964871,-0.0495154684874182,-0.174131719767731,-0.0356602393066355,-0.481231018125826
"X3997",0.117275172362196,0.0577919014941511,0.127376611725949,0.16479899878324,0.222051586396348,0.122043387004622,-0.264783086291302,-0.118162530435488
"X3998",0.155562812903444,0.229089879408732,0.550098916413838,-0.112197035713097,0.16192303972817,0.476271753619959,0.265447304427665,0.194641057023602
"X4000",0.0233590069075541,0.112792605584804,-0.12376405391085,0.156818443251332,0.107261919581243,-0.0978517494588599,0.00983634466928068,0.0314526132948753
"X4002",0.0397359176518547,0.0823049151302717,-0.0793102242682592,0.15650651221079,0.0665454714269285,-0.151195690125832,0.0837778948180288,-0.00788437389568339
"X4004",-0.0237987316137077,0.111080266323581,-0.126801919645372,-0.0164233891795101,0.188139528211268,-0.125733957502265,0.0460571738012896,0.0720337467585885
"X4005",0.0545545974021352,0.0921183868631674,0.175821958422427,-0.113859283080778,-0.0641399280127181,-0.18515859674317,0.000367383954469712,0.0963520006597123
"X4006",-0.137112538716947,0.524326363999639,-0.348789323210305,-0.210020049588429,-0.161471586967726,0.499526549275595,-0.25095643595688,-0.0136960251591121
"X4007",0.0120233221189357,0.0764245350650908,-0.110251594491888,-0.00801507971532653,0.227473480711218,-0.166713648292274,-0.0158722704518878,0.0690610394717679
"X4008",0.124437691529138,0.0284691398192457,0.106757936004292,-0.0721308683916819,0.232901601341397,-0.146216680114465,-0.172211622839714,0.345089533267451
"X4010",0.158549749411834,0.0139619962931054,0.084424864395441,0.153745230593402,0.0863518386869258,-0.1310033904676,-0.330177676883681,0.270088486207809
